Call ID,Timestamp,Customer ID,Agent ID,Call Duration,Call Reason,Customer Transcript
cd314e79-bf3d-473d-b85e-d587f23460e2,2026-08-31 04:33:29,CUST_20062,AGT_1007,330,Billing Inquiry,"Hi, I noticed an unexpected charge on my statement this month and need clarification."
6552f6c3-6fad-432c-a2df-6fde38fc46f3,2026-09-15 12:05:58,CUST_20108,AGT_1001,106,Billing Inquiry,"Hi, I noticed an unexpected charge on my statement this month and need clarification."
1790f400-1567-422c-bf9a-4ac1e3723382,2026-08-29 03:11:43,CUST_20129,AGT_1019,99,Billing Inquiry,"Hello, my monthly invoice seems higher than usual. Could you explain the additional fees?"
72f5aa80-15ce-4390-9a95-c6c8b695622d,2026-09-13 07:01:43,CUST_20107,AGT_1007,964,Product Inquiry,Are there any ongoing promotions or bundle discounts available for existing customers?
c45c9764-a170-4140-844e-3ed1d1ab1b40,2026-08-18 03:41:50,CUST_20194,AGT_1005,910,Product Inquiry,Can you tell me if your service covers international roaming in Europe?
e84a1865-d7ca-4c47-975a-c97073b34177,2026-08-25 09:16:21,CUST_20055,AGT_1024,734,Account Management,I recently moved and need to update my billing and service address.
11691638-a7f9-45e2-ad18-a536362c672c,2026-09-05 06:46:23,CUST_20024,AGT_1011,749,Billing Inquiry,"Hi, I noticed an unexpected charge on my statement this month and need clarification."
6e840a5d-e140-46ea-a12a-e79c5a6cb002,2026-08-19 22:44:57,CUST_20186,AGT_1014,1143,Product Inquiry,Can you tell me if your service covers international roaming in Europe?
16d0f685-6a3a-468f-86c9-693807d9ecc1,2026-08-21 15:56:04,CUST_20141,AGT_1009,785,Billing Inquiry,I need help updating my auto-pay credit card details before the next cycle.
3a7d2bcb-4aa7-4e76-8a83-61833fd251f3,2026-08-21 05:09:48,CUST_20011,AGT_1021,511,Product Inquiry,Are there any ongoing promotions or bundle discounts available for existing customers?
1db32de4-9d3d-4570-b6c0-77b2cf7df736,2026-08-29 03:20:48,CUST_20025,AGT_1012,614,Account Management,I need to change the primary email address and phone number associated with my profile.
dda93d57-14d9-45cd-9110-614ae3d6d02b,2026-08-25 17:37:53,CUST_20094,AGT_1011,474,Cancellation Request,I am switching to another provider and need to initiate account closure.
d808b265-28a2-46cd-9671-969cc708c99d,2026-09-16 09:48:53,CUST_20162,AGT_1005,1138,Account Management,I need to change the primary email address and phone number associated with my profile.
eab4e7ae-17f3-4d20-843e-3e8823ad15d4,2026-09-09 06:41:52,CUST_20097,AGT_1008,1185,Technical Support,I'm unable to log into the mobile app; it keeps returning an unexpected error code.
cda8722e-1c77-4647-a3cc-7deef391f50b,2026-08-20 13:17:53,CUST_20058,AGT_1001,691,Technical Support,The software update crashed mid-installation and now my device won't boot.
ae262f99-3d9e-4dd6-8a17-efb211fa7e73,2026-08-21 01:14:28,CUST_20054,AGT_1018,689,Cancellation Request,I am switching to another provider and need to initiate account closure.
6ee46828-cb13-4e50-9c8f-ba7ed6e0ae4b,2026-09-06 01:04:13,CUST_20164,AGT_1014,337,Technical Support,I cannot connect to the VPN network from my remote setup today.
a6126862-fdb7-47b2-b08b-b1d396399179,2026-08-29 19:28:03,CUST_20190,AGT_1017,1148,Account Management,"Hello, I would like to add an authorized secondary user to my account."
c4948cf2-8ecb-492c-9ca0-93795ce67726,2026-09-15 03:59:27,CUST_20102,AGT_1011,494,Account Management,Can you help me reset my security questions and multi-factor authentication?
0993c6dd-939c-4fd9-891d-c070d1ffc95e,2026-08-22 06:02:34,CUST_20193,AGT_1001,269,Technical Support,I cannot connect to the VPN network from my remote setup today.
146bda9d-a61b-41b0-99e2-cefdc1797acc,2026-09-07 07:58:40,CUST_20152,AGT_1002,833,Technical Support,I'm unable to log into the mobile app; it keeps returning an unexpected error code.
eb8d1ec2-d89d-4b81-9973-be16e2f95f77,2026-09-12 12:35:19,CUST_20064,AGT_1017,68,Cancellation Request,Please cancel my policy and let me know if any early termination fees apply.
3b5477b6-294e-4060-9aca-5b25697f48df,2026-09-03 08:27:32,CUST_20028,AGT_1009,935,Billing Inquiry,"Good morning, I was charged twice for the same transaction last Tuesday."
afd33c0d-1782-4379-95f1-10e2f29196f3,2026-08-17 23:54:24,CUST_20184,AGT_1023,584,Technical Support,I cannot connect to the VPN network from my remote setup today.
87b1f732-8a33-4b04-99f1-b7095f8fd69b,2026-09-11 11:37:04,CUST_20027,AGT_1020,656,Product Inquiry,Are there any ongoing promotions or bundle discounts available for existing customers?
71e93a11-8628-4af4-846d-ceb65465ca6b,2026-08-25 06:11:47,CUST_20095,AGT_1024,375,Product Inquiry,Are there any ongoing promotions or bundle discounts available for existing customers?
6ca0fde5-142b-40f0-8773-3d9bd9a37c02,2026-09-15 21:56:48,CUST_20082,AGT_1015,84,Product Inquiry,I want to know the difference between the standard and enterprise service tiers.
0a703d15-e41b-4a3b-b11c-d13ebd89313f,2026-09-01 18:24:20,CUST_20061,AGT_1001,538,Billing Inquiry,"Good morning, I was charged twice for the same transaction last Tuesday."
3426cf42-3ec6-444b-816e-26bf1f993558,2026-08-21 23:55:09,CUST_20187,AGT_1015,186,Product Inquiry,I want to know the difference between the standard and enterprise service tiers.
67979a00-66f7-4eb2-bf73-da35f56df62c,2026-08-24 01:42:45,CUST_20168,AGT_1015,1170,Product Inquiry,Are there any ongoing promotions or bundle discounts available for existing customers?
a181494a-ae77-4e85-8fc8-2f1cdec51f98,2026-09-12 10:54:37,CUST_20155,AGT_1013,478,Technical Support,The software update crashed mid-installation and now my device won't boot.
d0f92761-d951-4434-8cac-f9d88cf1ff5d,2026-09-01 23:18:05,CUST_20102,AGT_1021,809,Product Inquiry,Are there any ongoing promotions or bundle discounts available for existing customers?
c5e43f23-1a53-4362-933a-8922423e7798,2026-08-23 17:06:21,CUST_20063,AGT_1007,176,Cancellation Request,Please cancel my policy and let me know if any early termination fees apply.
d496569a-8f3a-457f-b0f1-7580b819aa98,2026-09-15 09:33:18,CUST_20141,AGT_1007,496,Account Management,I need to change the primary email address and phone number associated with my profile.
43733287-2d75-4215-9ff3-71bf15e68af5,2026-08-20 16:43:07,CUST_20058,AGT_1002,109,Billing Inquiry,"Hi, I noticed an unexpected charge on my statement this month and need clarification."
3498cd01-7eaf-4e95-ae49-8a6c83e092b1,2026-09-11 19:09:40,CUST_20060,AGT_1008,1039,Account Management,I need to change the primary email address and phone number associated with my profile.
48f9298d-0eb3-4fa2-b791-f9f1e2958ec3,2026-09-14 13:26:21,CUST_20147,AGT_1015,542,Technical Support,I'm unable to log into the mobile app; it keeps returning an unexpected error code.
27fe3962-cb1e-46e3-9dfd-954e1ffddc39,2026-08-27 01:58:10,CUST_20024,AGT_1003,927,Cancellation Request,Please cancel my policy and let me know if any early termination fees apply.
d9800870-efd4-4939-bab6-b5354d1ec920,2026-09-06 19:05:40,CUST_20119,AGT_1023,155,Account Management,Can you help me reset my security questions and multi-factor authentication?
d1fa8a98-3d8d-4307-88f1-638cf2d0e5e1,2026-09-06 09:12:49,CUST_20186,AGT_1010,268,Billing Inquiry,"Hi, I noticed an unexpected charge on my statement this month and need clarification."
bc22b8c7-457f-46f4-9f20-b82097303c06,2026-08-27 01:44:06,CUST_20137,AGT_1014,332,Technical Support,I'm unable to log into the mobile app; it keeps returning an unexpected error code.
cb96a28e-faec-4ca1-b4cc-bdd2b349396f,2026-08-31 08:39:16,CUST_20118,AGT_1007,199,Cancellation Request,"The current plan is outside my budget, so I would like to terminate the service."
55426e17-9e44-4bb2-828d-04dc0ea961d8,2026-08-20 07:03:55,CUST_20166,AGT_1017,75,Cancellation Request,I'm calling to cancel my subscription effective at the end of this billing cycle.
f3b02198-aac3-44fc-ab82-49908ff32fc6,2026-08-25 21:53:32,CUST_20104,AGT_1015,1030,Billing Inquiry,"Hello, my monthly invoice seems higher than usual. Could you explain the additional fees?"
7cc2ee65-f4c1-423a-9a72-f05c0cc5ee14,2026-08-20 16:26:27,CUST_20042,AGT_1012,49,Technical Support,I cannot connect to the VPN network from my remote setup today.
fbaa3b82-57f0-4bb3-855c-6b5e786141f9,2026-09-08 22:14:56,CUST_20073,AGT_1013,1183,Cancellation Request,I am switching to another provider and need to initiate account closure.
4e80d49b-3334-4936-90cf-54aa25bb1835,2026-08-27 01:22:22,CUST_20075,AGT_1006,164,Cancellation Request,"The current plan is outside my budget, so I would like to terminate the service."
4dfb36af-afe3-433f-90ee-ec1778efb023,2026-09-02 01:30:06,CUST_20014,AGT_1001,1021,Product Inquiry,I want to know the difference between the standard and enterprise service tiers.
c273f5d4-1ca8-4260-9295-b42fcbba78c1,2026-08-20 14:23:43,CUST_20130,AGT_1002,425,Product Inquiry,Are there any ongoing promotions or bundle discounts available for existing customers?
03a98513-4d8b-4755-acc2-de1cafe5731e,2026-08-29 06:09:29,CUST_20103,AGT_1003,549,Billing Inquiry,"Hi, I noticed an unexpected charge on my statement this month and need clarification."
6a9750c8-a1e3-4ac0-a6ec-76c25fb89ede,2026-08-21 19:38:36,CUST_20107,AGT_1021,1115,Product Inquiry,I want to know the difference between the standard and enterprise service tiers.
9774d28f-e893-422f-95c5-f56a4082b918,2026-08-27 18:06:18,CUST_20171,AGT_1022,688,Account Management,I recently moved and need to update my billing and service address.
eabe5dc8-dc94-4fbb-8289-80ed99986894,2026-09-06 01:14:59,CUST_20033,AGT_1021,659,Technical Support,The software update crashed mid-installation and now my device won't boot.
